,Title
814,George Washington before the Battle of Trenton
815,Giuseppe Ceracchi
816,John Murray
817,Mrs. John Murray
818,The Sortie Made by the Garrison of Gibraltar
819,Thomas Jefferson
820,Thomas Mifflin
821,Dawn—Early Spring
822,"Evening, New Bedford Harbor"
823,Moonlight
824,Moonrise at Sunset
825,Blue and Gold
826,Headland
827,Interior
828,Winter at Portland
829,Arques-la-Bataille
830,Horseneck Falls
831,Waterfall
832,Glass Blowers of Murano
833,After the Storm
834,The Ark
835,Autumn Meadows
836,Bay and Harbor from near Fort Castle William
837,Black Hawk
838,Boy with a Fawn
839,"Burning of the ""Factories"" in Canton"
840,Burning of the Sidewheeler Henry Clay
841,Chinese Seaport
842,The Claremont
843,Commodore Hopkins
844,David Clarkson
845,The Deer Hunt
846,Portrait of a Man
847,Family Group of Four on Sofa
848,George Washington
849,George Washington
850,Harbor Scene
851,Harbor Scene
852,Portrait of a Gentleman in a Carriage
853,Hudson House
854,The Hunting Party—New Jersey
855,The Williamson Family
856,John Hancock
857,John Walsh
858,Landscape and Figures
859,Liberty
860,Liberty
861,Boy with Blond Hair
862,Portrait of a Little Girl Picking Grapes
863,Marine
864,Martha Bartlett with Kitten
865,Memorial to Jane Amanda Fenn
866,Miss Foote
867,"Mr. Clark of Chester, New York"
868,Nourmahal
869,The Old Oaken Bucket which Hung in the Well
870,Hunting Scene
871,Pater Patriae
872,Perry's Victory
873,The Plantation
874,Study in Black and Green (Oil Sketch)
875,Portrait of a Lady (Possibly Hannah Stillman)
876,Portrait of a Man
877,Portrait of a Man
878,"Portrait of a Woman, Called Maria Taylor Byrd"
879,Woman with a Muff
880,Portrait of a Man
881,Robert Monckton
882,Sarah Cornell Clarkson (Mrs. William Richmond)
883,Seascape Fantasy
884,"The Ship ""John W. Brewer"""
885,Still Life—Flowers and Fruit in White and Pink Bowl
886,Henry Irving as Philip II of Spain
887,Tobacco Sign
888,United States and Macedonian
889,View of New York from New Jersey
890,"View of the Battery, New York"
891,View of New York from Weehawken
892,View of the Harbor at Canton
893,Washington's Triumphal Entry into New York
894,William Conklin
895,Woodland Vista
896,The Calumny of Apelles
897,Egbert Benson
898,Francis Lucas Waddell
899,John A. Sidell
900,"Mrs. Marinus Willett and Her Son Marinus, Jr."
901,Panoramic View of the Palace and Gardens of Versailles
902,Portrait of the Artist
903,Young Lady with a Rose
904,The African Sentinel
905,The Cup of Love
906,Cypress and Poppies
907,Greek Girls Bathing
908,Lair of the Sea Serpent
909,The Lost Mind
910,The Pleiades
911,Felix Adler
912,The Bridge at Grez
913,La Mere Adele (Cordon Bleu)
914,Elbert Henry Gary
915,"Harlem Bridge, New York"
916,Edward Kellogg
917,General Andrew Jackson
918,Henry La Tourette de Groot
919,The Knapp Children
920,Matthew Clarkson
921,Mrs. Edward Kellogg
922,Mrs. George Pine
